laureate_id,prize_name,prize_country,prize_founding_year,year,session,author,author_country,author_continent,book_title,publisher,notes,attribution_type,decade
L0532,Akutagawa Prize,Japan,1935,1954,H2,Junzō Shōno,Japan,Asia,"Evenings at the Pool (プールサイド小景, Pūrusaido Shōkei)",Gunzō,Co-laureate,Co-laureate,1950
L0533,Akutagawa Prize,Japan,1935,1955,H1,Shūsaku Endō,Japan,Asia,"White Man (白い人, Shiroi Hito)",Kindai Bungaku [ja],,Standard,1950
L0534,Akutagawa Prize,Japan,1935,1955,H2,Shintarō Ishihara,Japan,Asia,"Season of Violence (太陽の季節, Taiyō no Kisetsu)",Bungakukai,,Standard,1950
L0535,Akutagawa Prize,Japan,1935,1956,H1,Keitarō Kondō,Japan,Asia,Amabune (海人舟),Bungakukai,,Standard,1950
L0536,Akutagawa Prize,Japan,1935,1956,H2,,,,,,No prize awarded,No prize,1950
L0537,Akutagawa Prize,Japan,1935,1957,H1,Itaru Kikumura,Japan,Asia,Iōjima (硫黄島),Bungakukai,,Standard,1950
L0538,Akutagawa Prize,Japan,1935,1957,H2,Takeshi Kaikō,Japan,Asia,"The Naked King (裸の王様, Hadaka no Ōsama)",Bungakukai,,Standard,1950
L0539,Akutagawa Prize,Japan,1935,1958,H1,Kenzaburō Ōe,Japan,Asia,"Prize Stock (飼育, Shiiku)",Bungakukai,,Standard,1950
L0540,Akutagawa Prize,Japan,1935,1958,H2,,,,,,No prize awarded,No prize,1950
L0541,Akutagawa Prize,Japan,1935,1959,H1,Shirō Shiba,Japan,Asia,Santō (山塔),Waseda Bungaku,,Standard,1950
L0542,Akutagawa Prize,Japan,1935,1959,H2,,,,,,No prize awarded,No prize,1950
L0543,Akutagawa Prize,Japan,1935,1960,H1,Morio Kita,Japan,Asia,Yoru to Kiri no Sumi de (夜と霧の隅で),Shinchō,,Standard,1960
L0544,Akutagawa Prize,Japan,1935,1960,H2,Tetsuo Miura,Japan,Asia,"A Portrait of Shino (忍ぶ川, Shinobukawa)",Shinchō,,Standard,1960
L0545,Akutagawa Prize,Japan,1935,1961,H1,,,,,,No prize awarded,No prize,1960
L0546,Akutagawa Prize,Japan,1935,1961,H2,Kōichirō Uno,Japan,Asia,Kujiragami (鯨神),Bungakukai,,Standard,1960
L0547,Akutagawa Prize,Japan,1935,1962,H1,Akira Kawamura,Japan,Asia,Bidan no Shuppatsu (美談の出発),Bungakugai (文学街),,Standard,1960
L0548,Akutagawa Prize,Japan,1935,1962,H2,,,,,,No prize awarded,No prize,1960
L0550,Akutagawa Prize,Japan,1935,1963,H1,Kōno Taeko,Japan,Asia,"Crabs (蟹, Kani)",Bungakukai,Co-laureate,Co-laureate,1960
L0549,Akutagawa Prize,Japan,1935,1963,H1,Kiichi Gotō,Japan,Asia,Shōnen no Hashi (少年の橋),Yamagata Bungaku (山形文学),Co-laureate,Co-laureate,1960
L0551,Akutagawa Prize,Japan,1935,1963,H2,Seiko Tanabe,Japan,Asia,Kanshō Ryokō (Senchimentaru Jāni) (感傷旅行 センチメンタル・ジャーニィ),Kōro (航路),,Standard,1960
L0552,Akutagawa Prize,Japan,1935,1964,H1,Shō Shibata,Japan,Asia,Saredo Wareraga Hibi (されどわれらが日々──),Zō (象),,Standard,1960
L0553,Akutagawa Prize,Japan,1935,1964,H2,,,,,,No prize awarded,No prize,1960
L0554,Akutagawa Prize,Japan,1935,1965,H1,Setsuko Tsumura,Japan,Asia,"Playthings (玩具, Gangu)",Bungakukai,,Standard,1960
L0555,Akutagawa Prize,Japan,1935,1965,H2,Yūichi Takai,Japan,Asia,Kita no Kawa (北の河),Sai (犀),,Standard,1960
L0556,Akutagawa Prize,Japan,1935,1966,H1,,,,,,No prize awarded,No prize,1960
L0557,Akutagawa Prize,Japan,1935,1966,H2,Kenji Maruyama,Japan,Asia,Natsu no Nagare (夏の流れ),Bungakukai,,Standard,1960
L0558,Akutagawa Prize,Japan,1935,1967,H1,Tatsuhiro Ōshiro,Japan,Asia,"The Cocktail Party (カクテル・パーティー, Kakuteru Pātī)",Shin Okinawa Bungaku (新沖縄文学),,Standard,1960
L0559,Akutagawa Prize,Japan,1935,1967,H2,Hyōzō Kashiwabara,Japan,Asia,Tokuyama Dōsuke no Kikyō (徳山道助の帰郷),Shinchō,,Standard,1960
L0560,Akutagawa Prize,Japan,1935,1968,H1,Saiichi Maruya,Japan,Asia,Toshi no Nokori (年の残り),Bungakukai,Co-laureate,Co-laureate,1960
L0561,Akutagawa Prize,Japan,1935,1968,H1,Minako Ōba,Japan,Asia,"The Three Crabs (三匹の蟹, Sanbiki no Kani)",Gunzō,Co-laureate,Co-laureate,1960
L0562,Akutagawa Prize,Japan,1935,1968,H2,,,,,,No prize awarded,No prize,1960
L0563,Akutagawa Prize,Japan,1935,1969,H1,Kaoru Shōji,Japan,Asia,Akazukin-chan Ki o Tsukete (赤頭巾ちゃん気をつけて),Chūōkōron,Co-laureate,Co-laureate,1960
L0564,Akutagawa Prize,Japan,1935,1969,H1,Hideo Takubo,Japan,Asia,Fukai Kawa (深い河),Shinchō,Co-laureate,Co-laureate,1960
L0565,Akutagawa Prize,Japan,1935,1969,H2,Takayuki Kiyooka,Japan,Asia,Akashiya no Dairen (アカシヤの大連),Gunzō,,Standard,1960
L0566,Akutagawa Prize,Japan,1935,1970,H1,Tomoko Yoshida,Japan,Asia,Mumyōjōya (無明長夜),Shinchō,Co-laureate,Co-laureate,1970
L0567,Akutagawa Prize,Japan,1935,1970,H1,Komao Furuyama,Japan,Asia,Pureō 8 no Yoake (プレオー8の夜明け),Bungei,Co-laureate,Co-laureate,1970
L0568,Akutagawa Prize,Japan,1935,1970,H2,Yoshikichi Furui,Japan,Asia,"Yoko (杳子, Yōko)",Bungei,,Standard,1970
L0569,Akutagawa Prize,Japan,1935,1971,H1,,,,,,No prize awarded,No prize,1970
L0570,Akutagawa Prize,Japan,1935,1971,H2,Kaisei Ri,Japan,Asia,"The Woman who Fulled Clothes (砧をうつ女, Kinuta o Utsu Onna)",Kikan Geijutsu (季刊芸術),Co-laureate,Co-laureate,1970
L0571,Akutagawa Prize,Japan,1935,1971,H2,Mineo Higashi,Japan,Asia,"Child of Okinawa (オキナワの少年, Okinawa no Shōnen)",Bungakukai,Co-laureate,Co-laureate,1970
L0572,Akutagawa Prize,Japan,1935,1972,H1,Hiroshi Hatayama,Japan,Asia,Itsuka Kiteki o Narashite (いつか汽笛を鳴らして),Bungakukai,Co-laureate,Co-laureate,1970
L0573,Akutagawa Prize,Japan,1935,1972,H1,Akio Miyahara,Japan,Asia,Dareka ga Sawatta (誰かが触った),Bungei,Co-laureate,Co-laureate,1970
L0574,Akutagawa Prize,Japan,1935,1972,H2,Michiko Yamamoto,Japan,Asia,"Betty-san (ベティさんの庭, Betei-san no Niwa)",Shinchō,Co-laureate,Co-laureate,1970
L0575,Akutagawa Prize,Japan,1935,1972,H2,Shizuko Gō,Japan,Asia,"Requiem (れくいえむ, Rekuiemu)",Bungakukai,Co-laureate,Co-laureate,1970
L0576,Akutagawa Prize,Japan,1935,1973,H1,Taku Miki,Japan,Asia,Hiwa (鶸),Subaru [ja],,Standard,1970
