prize,country,year,session,author,author_country,book_title,publisher,notes
Akutagawa,Japan,1962,H2,,Japan,,,No prize awarded
Akutagawa,Japan,1963,H1,Kiichi Gotō,Japan,Shōnen no Hashi (少年の橋),Yamagata Bungaku (山形文学),
Akutagawa,Japan,1963,H1,Kōno Taeko,Japan,"Crabs (蟹, Kani)",Bungakukai,
Akutagawa,Japan,1963,H2,Seiko Tanabe,Japan,Kanshō Ryokō (Senchimentaru Jāni) (感傷旅行 センチメンタル・ジャーニィ),Kōro (航路),
Akutagawa,Japan,1964,H1,Shō Shibata,Japan,Saredo Wareraga Hibi (されどわれらが日々──),Zō (象),
Akutagawa,Japan,1964,H2,,Japan,,,No prize awarded
Akutagawa,Japan,1965,H1,Setsuko Tsumura,Japan,"Playthings (玩具, Gangu)",Bungakukai,
Akutagawa,Japan,1965,H2,Yūichi Takai,Japan,Kita no Kawa (北の河),Sai (犀),
Akutagawa,Japan,1966,H1,,Japan,,,No prize awarded
Akutagawa,Japan,1966,H2,Kenji Maruyama,Japan,Natsu no Nagare (夏の流れ),Bungakukai,
Akutagawa,Japan,1967,H1,Tatsuhiro Ōshiro,Japan,"The Cocktail Party (カクテル・パーティー, Kakuteru Pātī)",Shin Okinawa Bungaku (新沖縄文学),
Akutagawa,Japan,1967,H2,Hyōzō Kashiwabara,Japan,Tokuyama Dōsuke no Kikyō (徳山道助の帰郷),Shinchō,
Akutagawa,Japan,1968,H1,Saiichi Maruya,Japan,Toshi no Nokori (年の残り),Bungakukai,
Akutagawa,Japan,1968,H1,Minako Ōba,Japan,"The Three Crabs (三匹の蟹, Sanbiki no Kani)",Gunzō,
Akutagawa,Japan,1968,H2,,Japan,,,No prize awarded
Akutagawa,Japan,1969,H1,Kaoru Shōji,Japan,Akazukin-chan Ki o Tsukete (赤頭巾ちゃん気をつけて),Chūōkōron,
Akutagawa,Japan,1969,H1,Hideo Takubo,Japan,Fukai Kawa (深い河),Shinchō,
Akutagawa,Japan,1969,H2,Takayuki Kiyooka,Japan,Akashiya no Dairen (アカシヤの大連),Gunzō,
Akutagawa,Japan,1970,H1,Tomoko Yoshida,Japan,Mumyōjōya (無明長夜),Shinchō,
Akutagawa,Japan,1970,H1,Komao Furuyama,Japan,Pureō 8 no Yoake (プレオー8の夜明け),Bungei,
Akutagawa,Japan,1970,H2,Yoshikichi Furui,Japan,"Yoko (杳子, Yōko)",Bungei,
Akutagawa,Japan,1971,H1,,Japan,,,No prize awarded
Akutagawa,Japan,1971,H2,Kaisei Ri,Japan,"The Woman who Fulled Clothes (砧をうつ女, Kinuta o Utsu Onna)",Kikan Geijutsu (季刊芸術),
