prize,country,year,author,book_title,publisher,publisher_cumulative_count,notes
Goncourt,France,2008,Atiq Rahimi,Syngué sabour. Pierre de patience,P.O.L.,,
Goncourt,France,2009,Marie NDiaye,Trois Femmes puissantes,Gallimard,35,
Goncourt,France,2010,Michel Houellebecq[61],La Carte et le Territoire,Flammarion,4,
Goncourt,France,2011,Alexis Jenni,L'Art français de la guerre,Gallimard,36,
Goncourt,France,2012,Jérôme Ferrari,Le Sermon sur la chute de Rome,Actes Sud,2,
Goncourt,France,2013,Pierre Lemaitre,Au revoir là-haut,Albin Michel,12,
Goncourt,France,2014,Lydie Salvayre,Pas pleurer,Seuil,6,
Goncourt,France,2015,Mathias Énard,Boussole,Actes Sud,3,
Goncourt,France,2016,Leïla Slimani,Chanson douce,Gallimard,37,Deuxième lauréat marocain
Goncourt,France,2017,Éric Vuillard,L'Ordre du jour,Actes Sud,4,
Goncourt,France,2018,Nicolas Mathieu,Leurs enfants après eux,Actes Sud,5,
Goncourt,France,2019,Jean-Paul Dubois,Tous les hommes n'habitent pas le monde de la même façon,L'Olivier,,
Goncourt,France,2020,Hervé Le Tellier,L'Anomalie,Gallimard,38,
Goncourt,France,2021,Mohamed Mbougar Sarr,La Plus secrète mémoire des hommes,Philippe Rey,,"Premier lauréat sénégalais,  premier lauréat d’Afrique subsaharienne"
Goncourt,France,2022,Brigitte Giraud,Vivre vite,Flammarion,5,
Goncourt,France,2023,Jean-Baptiste Andrea,Veiller sur elle,L'Iconoclaste,,Également Prix du roman Fnac
Goncourt,France,2024,Kamel Daoud,Houris,Gallimard,39,Premier lauréat algérien - Également lauréat du prix Landerneau des lecteurs
Goncourt,France,2025,Laurent Mauvignier,La Maison vide,Minuit,4,Également lauréat du prix Landerneau des lecteurs
