prize,country,year,session,author,author_country,book_title,publisher,notes
Naoki,Japan,2002,H2,,Japan,,,No prize awarded
Naoki,Japan,2003,H1,Ira Ishida,Japan,"4-Teen (4TEEN フォーティーン) Hoshiboshi no Fune (星々の舟, lit. Ship of Stars)",,Co-laureate
Naoki,Japan,2003,H1,Yuka Murayama,Japan,"4-Teen (4TEEN フォーティーン) Hoshiboshi no Fune (星々の舟, lit. Ship of Stars)",,Co-laureate
Naoki,Japan,2003,H2,Kaori Ekuni,Japan,"Gokyu suru Junbi wa Dekiteita (号泣する準備はできていた; lit. Preparations for Crying Have Been Made) Nochino Kōsetsu Hyaku Monogatari (後巷説百物語, lit. Further Gossip Hundred Tales)",,Co-laureate
Naoki,Japan,2003,H2,Natsuhiko Kyogoku,Japan,"Gokyu suru Junbi wa Dekiteita (号泣する準備はできていた; lit. Preparations for Crying Have Been Made) Nochino Kōsetsu Hyaku Monogatari (後巷説百物語, lit. Further Gossip Hundred Tales)",,Co-laureate
Naoki,Japan,2004,H1,Hideo Okuda,Japan,Kūchū Buranko (空中ブランコ; lit. Trapeze) Kaikō no Mori (邂逅の森; lit. Forest of the Chance Meeting),,Co-laureate
Naoki,Japan,2004,H1,Tatsuya Kumagai,Japan,Kūchū Buranko (空中ブランコ; lit. Trapeze) Kaikō no Mori (邂逅の森; lit. Forest of the Chance Meeting),,Co-laureate
Naoki,Japan,2004,H2,Mitsuyo Kakuta,Japan,Taigan no Kanojo (対岸の彼女; lit. The Woman on the Opposite Shore),,
Naoki,Japan,2005,H1,Minato Shukawa,Japan,Hana Manma (花まんま; lit. As a Flower),,
Naoki,Japan,2005,H2,Keigo Higashino,Japan,"The Devotion of Suspect X (容疑者Xの献身, Yōgisha X no Kenshin)",,
Naoki,Japan,2006,H1,Shion Miura,Japan,Mahoro Ekimae Tada Benri-ken (まほろ駅前多田便利軒; lit. The Convenience Shop Just Before Mahoro Station) Kaze ni Maiagaru Binīru Shīto (風に舞いあがるビニールシート; lit. A Vinyl Sheet Dancing in the Wind),,Co-laureate
Naoki,Japan,2006,H1,Eto Mori,Japan,Mahoro Ekimae Tada Benri-ken (まほろ駅前多田便利軒; lit. The Convenience Shop Just Before Mahoro Station) Kaze ni Maiagaru Binīru Shīto (風に舞いあがるビニールシート; lit. A Vinyl Sheet Dancing in the Wind),,Co-laureate
Naoki,Japan,2006,H2,,Japan,,,No prize awarded
Naoki,Japan,2007,H1,Kesako Matsui,Japan,Yoshiwara Tebikigusa (吉原手引草; lit. Yoshiwara Handbook),,
Naoki,Japan,2007,H2,Kazuki Sakuraba,Japan,Watashi no Otoko (私の男; lit. My Man),,
Naoki,Japan,2008,H1,Areno Inoue,Japan,Kiriha e (切羽へ; lit. To the Face),,
Naoki,Japan,2008,H2,Arata Tendo,Japan,Itamu Hito (悼む人; lit. Mourned Person) Rikyū ni Tazune yo (利休にたずねよ; lit. Go Ask Rikyū),,Co-laureate
Naoki,Japan,2008,H2,Ken'ichi Yamamoto,Japan,Itamu Hito (悼む人; lit. Mourned Person) Rikyū ni Tazune yo (利休にたずねよ; lit. Go Ask Rikyū),,Co-laureate
Naoki,Japan,2009,H1,Kaoru Kitamura,Japan,Sagi to Yuki (鷺と雪; lit. Herons and Snow),,
Naoki,Japan,2009,H2,Jō Sasaki,Japan,Haikyo ni Kō (廃墟に乞う; lit. An Invitation to the Ruins) Hokanaranu Hito e (ほかならぬ人へ; lit. To None Other Than),,Co-laureate
Naoki,Japan,2009,H2,Kazufumi Shiraishi,Japan,Haikyo ni Kō (廃墟に乞う; lit. An Invitation to the Ruins) Hokanaranu Hito e (ほかならぬ人へ; lit. To None Other Than),,Co-laureate
Naoki,Japan,2010,H1,Kyōko Nakajima,Japan,Chiisai O'uchi (小さいおうち; lit. A Small House),,
Naoki,Japan,2010,H2,Nobori Kiuchi,Japan,Hyōsa no Utau (漂砂のうたう; lit. The Singing of the Sands) Tsuki to Kani (月と蟹; lit. The Moon and Crabs),,Co-laureate
Naoki,Japan,2010,H2,Shūsuke Michio,Japan,Hyōsa no Utau (漂砂のうたう; lit. The Singing of the Sands) Tsuki to Kani (月と蟹; lit. The Moon and Crabs),,Co-laureate
Naoki,Japan,2011,H1,Jun Ikeido,Japan,"Shitamachi Roketto (下町ロケット, lit. Shitamachi Rocket)",,
Naoki,Japan,2011,H2,Rin Hamuro,Japan,Higurashi no Ki (蜩ノ記; lit. Cicada Chronicles),,
Naoki,Japan,2012,H1,Mizuki Tsujimura,Japan,Kagi no nai Yume wo Miru (鍵のない夢を見る; lit. I Saw a Dream Without a Key),,
Naoki,Japan,2012,H2,Asai Ryo,Japan,Nanimono (何者; lit. Who Is This?) Tohaku (等伯),,Co-laureate
Naoki,Japan,2012,H2,Abe Ryutaro,Japan,Nanimono (何者; lit. Who Is This?) Tohaku (等伯),,Co-laureate
Naoki,Japan,2013,H1,Shino Sakuragi,Japan,Hotel Royal (ホテルローヤル),,
Naoki,Japan,2013,H2,Makate Asai,Japan,Renka (恋歌; lit. Love Song) Shōwa no inu (昭和の犬; lit. Dog of Showa),,Co-laureate
Naoki,Japan,2013,H2,Kaoruko Himeno,Japan,Renka (恋歌; lit. Love Song) Shōwa no inu (昭和の犬; lit. Dog of Showa),,Co-laureate
Naoki,Japan,2014,H1,Hiroyuki Kurokawa,Japan,Hamon (破門; lit. Expulsion),,
Naoki,Japan,2014,H2,Kanako Nishi,Japan,Saraba! (サラバ!; lit. Farewell!),,
Naoki,Japan,2015,H1,Akira Higashiyama,Japan,Ryu (流),,
Naoki,Japan,2015,H2,Bunpei Aoyama,Japan,Tsuma wo Metorava (つまをめとらば; lit. If You Marry a Wife),,
Naoki,Japan,2016,H1,Hiroshi Ogiwara,Japan,Umi no Mieru Rihatsuten (海の見える理髪店; lit. The Barber Shop with an Ocean View),,
Naoki,Japan,2016,H2,Riku Onda,Japan,Honeybees and Distant Thunder (蜜蜂と遠雷; Mitsubachi to Enrai),,
Naoki,Japan,2017,H1,Shogo Sato,Japan,Tsuki no Michikake (月の満ち欠け; lit. The Waxing and Waning of the Moon),,
Naoki,Japan,2017,H2,Yoshinobu Kadoi,Japan,Gingatetsudo no Chichi (銀河鉄道の父; lit. Father of the Galaxy Railroad),,
Naoki,Japan,2018,H1,Rio Shimamoto,Japan,Fāsuto Rabu (ファーストラヴ; lit. First Love),,
Naoki,Japan,2018,H2,Junjō Shindō,Japan,Takarajima (宝島; lit. Hero's Island),,
Naoki,Japan,2019,H1,Masumi Oshima,Japan,"Uzu Imoseyama Onna Teikin Tamamusubi (渦　妹背山婦女庭訓魂結び, lit. Whirlpool, Husband and Wife Mountains: A Mirror of Virtuous Women, Requiem)",,
Naoki,Japan,2019,H2,Soichi Kawagoe,Japan,"Netsu Gen (熱源, lit. Heat Source)",,
Naoki,Japan,2020,H1,Hase Seishū,Japan,"The Boy and the Dog (少年と犬, Shonen to Inu)",,
Naoki,Japan,2020,H2,Naka Saijo,Japan,Kokoro(ura) sabishi kawa (心（うら）淋し川; lit. Lonely River),,
Naoki,Japan,2021,H1,Toko Sawada,Japan,"Hoshi ochite, nao (星落ちて、なお; lit. The Stars Have Fallen) Tezcatlipoca (テスカトリポカ)",,Co-laureate
Naoki,Japan,2021,H1,Norikazu Sato,Japan,"Hoshi ochite, nao (星落ちて、なお; lit. The Stars Have Fallen) Tezcatlipoca (テスカトリポカ)",,Co-laureate
Naoki,Japan,2021,H2,Shogo Imamura,Japan,"Saiō no Tate (塞王の楯; lit. Shield of the Fortress King) The Samurai and the Prisoner (黒牢城, Kokurōjō)",,Co-laureate
Naoki,Japan,2021,H2,Honobu Yonezawa,Japan,"Saiō no Tate (塞王の楯; lit. Shield of the Fortress King) The Samurai and the Prisoner (黒牢城, Kokurōjō)",,Co-laureate
Naoki,Japan,2022,H1,Misumi Kubo,Japan,Yoru ni Hoshi wo Hanatsu (夜に星を放つ; lit. The Night of Shooting Stars),,
Naoki,Japan,2022,H2,Satoshi Ogawa,Japan,Chizu to Kobushi (地図と拳; lit. Map and Fist) Shirogane no Ha (しろがねの葉; lit. Silver Leaf),,Co-laureate
Naoki,Japan,2022,H2,Akane Chihaya,Japan,Chizu to Kobushi (地図と拳; lit. Map and Fist) Shirogane no Ha (しろがねの葉; lit. Silver Leaf),,Co-laureate
Naoki,Japan,2023,H1,Ryōsuke Kakine,Japan,Gokuraku Seii-taishōgun (極楽征夷大将軍; lit. General of the Paradise) Kobiki-chō no Adauchi (木挽町のあだ討ち; lit. Revenge in Kobikicho),,Co-laureate
Naoki,Japan,2023,H1,Sayako Nagai,Japan,Gokuraku Seii-taishōgun (極楽征夷大将軍; lit. General of the Paradise) Kobiki-chō no Adauchi (木挽町のあだ討ち; lit. Revenge in Kobikicho),,Co-laureate
Naoki,Japan,2023,H2,Akiko Kawasaki,Japan,Tomogui (ともぐい) Hachigatsu no Gosho-ground (八月の御所グラウンド; lit. The Imperial Palace Grounds in August),,Co-laureate
Naoki,Japan,2023,H2,Manabu Makime,Japan,Tomogui (ともぐい) Hachigatsu no Gosho-ground (八月の御所グラウンド; lit. The Imperial Palace Grounds in August),,Co-laureate
Naoki,Japan,2024,H1,Michi Ichiho,Japan,Tsumidemic (ツミデミック),,
Naoki,Japan,2024,H2,Shin Iyohara,Japan,Ai o Tsugu Umi (藍を継ぐ海),,
Naoki,Japan,2025,H1,,Japan,,,No prize awarded
Naoki,Japan,2025,H2,Teru Shimazu,Japan,Cafe no Kaerimichi (カフェーの帰り道),,
