country,continent,total_laureates
Japan,Asia,393
France,Europe,222
USA,North America,87
UK,Europe,43
Germany,Europe,9
Ireland,Europe,8
Sweden,Europe,8
Canada,North America,7
South Africa,Africa,6
Australia,Oceania,6
Italy,Europe,6
Belgium,Europe,6
Poland,Europe,5
Spain,Europe,5
Norway,Europe,4
