period,laureates,distinct_countries,countries_list
Before 2014 (Commonwealth only),47,8,"Australia,Canada,India,Ireland,New Zealand,Nigeria,South Africa,UK"
From 2014 (Worldwide English fiction),13,8,"Australia,Canada,Ireland,Jamaica,South Africa,Sri Lanka,UK,USA"
