prize_name,total_sessions,sessions_with_laureate,sessions_without_laureate,co_laureate_count,no_prize_pct,co_laureate_pct
Akutagawa Prize,220,188,32,94,14.5,50.0
Naoki Prize,233,203,30,118,12.9,58.1
